eV	Re eps	Im eps
5.3	-2.50E+00	4.82E+00
5.2	-2.55E+00	5.18E+00
5.1	-2.52E+00	5.51E+00
5.0	-2.45E+00	5.88E+00
4.9	-2.29E+00	6.20E+00
4.8	-2.11E+00	6.46E+00
4.7	-1.88E+00	6.68E+00
4.6	-1.71E+00	6.81E+00
4.5	-1.50E+00	6.91E+00
4.4	-1.32E+00	7.05E+00
4.3	-1.13E+00	7.02E+00
4.2	-1.01E+00	6.99E+00
4.1	-9.33E-01	6.93E+00
4.0	-9.28E-01	6.85E+00
3.9	-9.62E-01	6.81E+00
3.8	-1.10E+00	6.73E+00
3.7	-1.32E+00	6.71E+00
3.6	-1.60E+00	6.79E+00
3.5	-1.80E+00	6.88E+00
3.4	-2.08E+00	7.03E+00
3.3	-2.38E+00	7.18E+00
3.2	-2.70E+00	7.41E+00
3.1	-2.98E+00	7.60E+00
3.0	-3.36E+00	7.86E+00
2.9	-3.73E+00	8.16E+00
2.8	-4.19E+00	8.46E+00
2.7	-4.65E+00	8.89E+00
2.6	-5.14E+00	9.33E+00
2.5	-5.80E+00	9.79E+00
2.4	-6.44E+00	1.05E+01
2.3	-7.11E+00	1.12E+01
2.2	-7.85E+00	1.20E+01
2.1	-8.69E+00	1.29E+01
2.0	-9.60E+00	1.41E+01
1.95	-1.01E+01	1.48E+01
1.90	-1.05E+01	1.54E+01
1.85	-1.10E+01	1.63E+01
1.80	-1.14E+01	1.71E+01
1.75	-1.18E+01	1.81E+01
1.70	-1.23E+01	1.91E+01
1.65	-1.25E+01	2.01E+01
1.60	-1.27E+01	2.09E+01
1.55	-1.30E+01	2.17E+01
1.50	-1.36E+01	2.26E+01
1.45	-1.40E+01	2.36E+01
1.40	-1.44E+01	2.45E+01
1.35	-1.51E+01	2.54E+01
1.30	-1.60E+01	2.66E+01
1.25	-1.69E+01	2.78E+01
1.20	-1.79E+01	2.91E+01
1.15	-1.90E+01	3.05E+01
1.1	-2.01E+01	3.20E+01
1.05	-2.17E+01	3.34E+01
1.00	-2.36E+01	3.51E+01
0.95	-2.61E+01	3.72E+01
0.90	-2.87E+01	3.96E+01
0.85	-3.17E+01	4.26E+01
0.80	-3.51E+01	4.61E+01
0.75	-3.87E+01	4.98E+01
0.70	-4.31E+01	5.37E+01
0.65	-4.91E+01	5.84E+01
0.60	-5.50E+01	6.41E+01
0.55	-6.44E+01	6.96E+01
0.50	-7.67E+01	7.77E+01
0.45	-8.64E+01	8.57E+01
0.40	-1.15E+02	8.76E+01
0.38	-1.31E+02	9.49E+01
0.36	-1.45E+02	1.02E+02
0.34	-1.63E+02	1.09E+02
0.32	-1.85E+02	1.17E+02
0.30	-2.07E+02	1.26E+02
0.28	-2.38E+02	1.38E+02
0.26	-2.74E+02	1.47E+02
0.24	-3.21E+02	1.53E+02
0.22	-3.91E+02	1.66E+02
0.20	-4.89E+02	1.85E+02
0.19	-5.48E+02	2.05E+02
0.18	-6.15E+02	2.24E+02
0.17	-6.96E+02	2.51E+02
0.16	-7.93E+02	2.86E+02
0.15	-9.07E+02	3.34E+02
0.14	-1.04E+03	3.82E+02
0.13	-1.20E+03	4.55E+02
0.12	-1.42E+03	5.45E+02
0.11	-1.68E+03	6.79E+02
0.1	-2.01E+03	8.74E+02
